業別,年度,類別,年增率,值
礦業及土石採取業,100,經常性薪資,1.24,41278
製造業,100,經常性薪資,1.55,33907
電力及燃氣供應業,100,經常性薪資,1.23,66043
用水供應及污染整治業,100,經常性薪資,0.39,36424
營建工程業,100,經常性薪資,0.06,37523
批發及零售業,100,經常性薪資,1.6,35759
運輸及倉儲業,100,經常性薪資,1.96,40332
住宿及餐飲業,100,經常性薪資,2.92,25663
出版影音及資通訊業,100,經常性薪資,2.26,50909
金融及保險業,100,經常性薪資,0.73,55008
不動產業,100,經常性薪資,-0.95,36023
專業﹑科學及技術服務業,100,經常性薪資,1.44,44675
支援服務業,100,經常性薪資,2.11,29318
教育業   (不含各級公私立學校等),100,經常性薪資,-0.34,21223
醫療保健業,100,經常性薪資,2.08,50100
藝術﹑娛樂及休閒服務業,100,經常性薪資,1.55,30388
其他服務業,100,經常性薪資,2.64,28251
礦業及土石採取業,101,經常性薪資,1.33,41827
製造業,101,經常性薪資,1.63,34461
電力及燃氣供應業,101,經常性薪資,1.73,67184
用水供應及污染整治業,101,經常性薪資,-0.7,36170
營建工程業,101,經常性薪資,-0.06,37501
批發及零售業,101,經常性薪資,0.53,35948
運輸及倉儲業,101,經常性薪資,0.44,40509
住宿及餐飲業,101,經常性薪資,3.64,26598
出版影音及資通訊業,101,經常性薪資,2.24,52047
金融及保險業,101,經常性薪資,0.72,55405
不動產業,101,經常性薪資,1.19,36452
專業﹑科學及技術服務業,101,經常性薪資,2.34,45721
支援服務業,101,經常性薪資,2.52,30056
教育業   (不含各級公私立學校等),101,經常性薪資,1.5,21541
醫療保健業,101,經常性薪資,1.81,51009
藝術﹑娛樂及休閒服務業,101,經常性薪資,4.45,31740
其他服務業,101,經常性薪資,1.57,28694
礦業及土石採取業,102,經常性薪資,2.4,42831
製造業,102,經常性薪資,1.13,34850
電力及燃氣供應業,102,經常性薪資,-0.19,67053
用水供應及污染整治業,102,經常性薪資,-1.08,35778
營建工程業,102,經常性薪資,2.04,38265
批發及零售業,102,經常性薪資,0.23,36029
運輸及倉儲業,102,經常性薪資,0.46,40694
住宿及餐飲業,102,經常性薪資,3.11,27426
出版影音及資通訊業,102,經常性薪資,1.66,52911
金融及保險業,102,經常性薪資,1.67,56332
不動產業,102,經常性薪資,-0.22,36370
專業﹑科學及技術服務業,102,經常性薪資,1.11,46230
支援服務業,102,經常性薪資,1.27,30438
教育業   (不含各級公私立學校等),102,經常性薪資,1.26,21813
醫療保健業,102,經常性薪資,-0.2,50909
藝術﹑娛樂及休閒服務業,102,經常性薪資,3.91,32981
其他服務業,102,經常性薪資,0.94,28965
礦業及土石採取業,103,經常性薪資,0.44,43021
製造業,103,經常性薪資,1.5,35374
電力及燃氣供應業,103,經常性薪資,-0.27,66875
用水供應及污染整治業,103,經常性薪資,-0.11,35737
營建工程業,103,經常性薪資,1.4,38802
批發及零售業,103,經常性薪資,1.86,36698
運輸及倉儲業,103,經常性薪資,-0.28,40579
住宿及餐飲業,103,經常性薪資,3.93,28503
出版影音及資通訊業,103,經常性薪資,0.19,53013
金融及保險業,103,經常性薪資,6.19,59821
不動產業,103,經常性薪資,1.97,37087
專業﹑科學及技術服務業,103,經常性薪資,0.67,46539
支援服務業,103,經常性薪資,2.24,31119
教育業   (不含各級公私立學校等),103,經常性薪資,4.53,22802
醫療保健業,103,經常性薪資,1.49,51670
藝術﹑娛樂及休閒服務業,103,經常性薪資,0.76,33231
其他服務業,103,經常性薪資,-0.3,28877
礦業及土石採取業,104,經常性薪資,-0.71,42714
製造業,104,經常性薪資,1.5,35903
電力及燃氣供應業,104,經常性薪資,-1.25,66039
用水供應及污染整治業,104,經常性薪資,-0.79,35455
營建工程業,104,經常性薪資,-0.54,38593
批發及零售業,104,經常性薪資,2.05,37450
運輸及倉儲業,104,經常性薪資,1.19,41060
住宿及餐飲業,104,經常性薪資,1.27,28866
出版影音及資通訊業,104,經常性薪資,1.47,53790
金融及保險業,104,經常性薪資,-0.56,59484
不動產業,104,經常性薪資,-0.25,36993
專業﹑科學及技術服務業,104,經常性薪資,2.39,47652
支援服務業,104,經常性薪資,2.15,31787
教育業   (不含各級公私立學校等),104,經常性薪資,0.56,22930
醫療保健業,104,經常性薪資,2.23,52823
藝術﹑娛樂及休閒服務業,104,經常性薪資,1.53,33738
其他服務業,104,經常性薪資,0.95,29151
礦業及土石採取業,105,經常性薪資,-0.17,42642
製造業,105,經常性薪資,1.56,36464
電力及燃氣供應業,105,經常性薪資,-1.41,65105
用水供應及污染整治業,105,經常性薪資,-0.56,35256
營建工程業,105,經常性薪資,-0.93,38236
批發及零售業,105,經常性薪資,2.12,38244
運輸及倉儲業,105,經常性薪資,1.16,41537
住宿及餐飲業,105,經常性薪資,0.74,29081
出版影音及資通訊業,105,經常性薪資,1.86,54789
金融及保險業,105,經常性薪資,1.37,60297
不動產業,105,經常性薪資,-1.59,36406
專業﹑科學及技術服務業,105,經常性薪資,1.11,48182
支援服務業,105,經常性薪資,1.03,32113
教育業   (不含各級公私立學校等),105,經常性薪資,1.79,23340
醫療保健業,105,經常性薪資,1.15,53429
藝術﹑娛樂及休閒服務業,105,經常性薪資,1.59,34275
其他服務業,105,經常性薪資,0.98,29438
礦業及土石採取業,106,經常性薪資,-0.73,42332
製造業,106,經常性薪資,2.24,37282
電力及燃氣供應業,106,經常性薪資,-1.46,64155
用水供應及污染整治業,106,經常性薪資,0.57,35456
營建工程業,106,經常性薪資,-0.61,38002
批發及零售業,106,經常性薪資,2.91,39357
運輸及倉儲業,106,經常性薪資,2.06,42394
住宿及餐飲業,106,經常性薪資,2.59,29833
出版影音及資通訊業,106,經常性薪資,2.66,56247
金融及保險業,106,經常性薪資,-0.11,60233
不動產業,106,經常性薪資,4.74,38131
專業﹑科學及技術服務業,106,經常性薪資,0.85,48591
支援服務業,106,經常性薪資,1.86,32710
教育業   (不含各級公私立學校等),106,經常性薪資,1.94,23793
醫療保健業,106,經常性薪資,0.33,53604
藝術﹑娛樂及休閒服務業,106,經常性薪資,2.23,35041
其他服務業,106,經常性薪資,2.46,30163
礦業及土石採取業,107,經常性薪資,1.41,42928
製造業,107,經常性薪資,2.48,38208
電力及燃氣供應業,107,經常性薪資,0.99,64788
用水供應及污染整治業,107,經常性薪資,0.39,35593
營建工程業,107,經常性薪資,1.72,38654
批發及零售業,107,經常性薪資,2.87,40485
運輸及倉儲業,107,經常性薪資,2.8,43583
住宿及餐飲業,107,經常性薪資,3.02,30735
出版影音及資通訊業,107,經常性薪資,2.46,57630
金融及保險業,107,經常性薪資,2.31,61627
不動產業,107,經常性薪資,5.66,40291
專業﹑科學及技術服務業,107,經常性薪資,2.1,49611
支援服務業,107,經常性薪資,2.34,33474
教育業   (不含各級公私立學校等),107,經常性薪資,3.38,24598
醫療保健業,107,經常性薪資,1.59,54458
藝術﹑娛樂及休閒服務業,107,經常性薪資,3.15,36144
其他服務業,107,經常性薪資,3.23,31136
礦業及土石採取業,108,經常性薪資,1.65,43638
製造業,108,經常性薪資,2.06,38994
電力及燃氣供應業,108,經常性薪資,0.79,65298
用水供應及污染整治業,108,經常性薪資,0.97,35940
營建工程業,108,經常性薪資,1.23,39129
批發及零售業,108,經常性薪資,2.34,41431
運輸及倉儲業,108,經常性薪資,2.21,44546
住宿及餐飲業,108,經常性薪資,2.33,31451
出版影音及資通訊業,108,經常性薪資,2.51,59075
金融及保險業,108,經常性薪資,2.38,63091
不動產業,108,經常性薪資,3.19,41577
專業﹑科學及技術服務業,108,經常性薪資,1.84,51921
支援服務業,108,經常性薪資,1.67,34033
教育業（不含小學以上各級公私立學校等）,108,經常性薪資,1.95,27628
醫療保健及社會工作服務業,108,經常性薪資,2.34,51049
藝術﹑娛樂及休閒服務業,108,經常性薪資,2.25,36957
其他服務業,108,經常性薪資,2.5,31914
礦業及土石採取業,109,經常性薪資,-0.4,43462
製造業,109,經常性薪資,1.29,39498
電力及燃氣供應業,109,經常性薪資,-0.53,64953
用水供應及污染整治業,109,經常性薪資,0.94,36277
營建工程業,109,經常性薪資,2.18,39983
批發及零售業,109,經常性薪資,0.66,41704
運輸及倉儲業,109,經常性薪資,-0.58,44286
住宿及餐飲業,109,經常性薪資,1.32,31867
出版影音及資通訊業,109,經常性薪資,3.29,61016
金融及保險業,109,經常性薪資,0.98,63710
不動產業,109,經常性薪資,2.35,42555
專業﹑科學及技術服務業,109,經常性薪資,1.82,52866
支援服務業,109,經常性薪資,0.45,34187
教育業（不含小學以上各級公私立學校等）,109,經常性薪資,1.13,27941
醫療保健及社會工作服務業,109,經常性薪資,0.75,51433
藝術﹑娛樂及休閒服務業,109,經常性薪資,2.11,37737
其他服務業,109,經常性薪資,1.68,32450
礦業及土石採取業,110,經常性薪資,-0.32,43321
製造業,110,經常性薪資,3.04,40700
電力及燃氣供應業,110,經常性薪資,-0.58,64576
用水供應及污染整治業,110,經常性薪資,-0.01,36273
營建工程業,110,經常性薪資,1.85,40724
批發及零售業,110,經常性薪資,0.64,41971
運輸及倉儲業,110,經常性薪資,1.76,45064
住宿及餐飲業,110,經常性薪資,0.62,32063
出版影音及資通訊業,110,經常性薪資,2.26,62393
金融及保險業,110,經常性薪資,2.58,65352
不動產業,110,經常性薪資,0.93,42952
專業﹑科學及技術服務業,110,經常性薪資,1.67,53748
支援服務業,110,經常性薪資,0.14,34235
教育業（不含小學以上各級公私立學校等）,110,經常性薪資,0.89,28191
醫療保健及社會工作服務業,110,經常性薪資,0.43,51652
藝術﹑娛樂及休閒服務業,110,經常性薪資,-2.73,36707
其他服務業,110,經常性薪資,0.07,32474
礦業及土石採取業,113,經常性薪資,3.35,46934
製造業,113,經常性薪資,3.05,44306
電力及燃氣供應業,113,經常性薪資,0.19,66020
用水供應及污染整治業,113,經常性薪資,3.41,39161
營建工程業,113,經常性薪資,1.94,43267
批發及零售業,113,經常性薪資,3.45,45838
運輸及倉儲業,113,經常性薪資,3.56,49696
住宿及餐飲業,113,經常性薪資,1.03,34332
出版影音及資通訊業,113,經常性薪資,2.67,67540
金融及保險業,113,經常性薪資,5.43,69606
不動產業,113,經常性薪資,2.77,44699
專業﹑科學及技術服務業,113,經常性薪資,1.75,56844
支援服務業,113,經常性薪資,2.57,36661
教育業（不含小學以上各級公私立學校等）,113,經常性薪資,2.12,30656
醫療保健及社會工作服務業,113,經常性薪資,0.48,54293
藝術﹑娛樂及休閒服務業,113,經常性薪資,2.33,39037
其他服務業,113,經常性薪資,0.93,35813
礦業及土石採取業,112,經常性薪資,1.66,45413
製造業,112,經常性薪資,2.31,42995
電力及燃氣供應業,112,經常性薪資,1.33,65898
用水供應及污染整治業,112,經常性薪資,2.63,37870
營建工程業,112,經常性薪資,2.55,42445
批發及零售業,112,經常性薪資,2.86,44311
運輸及倉儲業,112,經常性薪資,2.82,47988
住宿及餐飲業,112,經常性薪資,2.27,33981
出版影音及資通訊業,112,經常性薪資,2.24,65786
金融及保險業,112,經常性薪資,0.89,66019
不動產業,112,經常性薪資,1.02,43493
專業﹑科學及技術服務業,112,經常性薪資,1.44,55866
支援服務業,112,經常性薪資,2.85,35742
教育業（不含小學以上各級公私立學校等）,112,經常性薪資,2.2,30021
醫療保健及社會工作服務業,112,經常性薪資,1.53,54034
藝術﹑娛樂及休閒服務業,112,經常性薪資,0.85,38148
其他服務業,112,經常性薪資,2.73,35482
礦業及土石採取業,111,經常性薪資,3.11,44670
製造業,111,經常性薪資,3.25,42024
電力及燃氣供應業,111,經常性薪資,0.71,65034
用水供應及污染整治業,111,經常性薪資,1.72,36898
營建工程業,111,經常性薪資,1.63,41389
批發及零售業,111,經常性薪資,2.64,43080
運輸及倉儲業,111,經常性薪資,3.57,46672
住宿及餐飲業,111,經常性薪資,3.63,33226
出版影音及資通訊業,111,經常性薪資,3.13,64344
金融及保險業,111,經常性薪資,0.13,65437
不動產業,111,經常性薪資,0.24,43055
專業﹑科學及技術服務業,111,經常性薪資,2.46,55072
支援服務業,111,經常性薪資,1.51,34751
教育業（不含小學以上各級公私立學校等）,111,經常性薪資,4.2,29376
醫療保健及社會工作服務業,111,經常性薪資,3.04,53220
藝術﹑娛樂及休閒服務業,111,經常性薪資,3.05,37826
其他服務業,111,經常性薪資,6.36,34540
