年度,行業別,經常性薪資,經常性薪資年增率(%),總薪資,總薪資年增率(%)
109,工業及服務業總計,42498,-,54360,-
109,礦業及土石採取業,40500,-,47800,-
109,製造業,39850,-,53800,-
109,電力及燃氣供應業,61500,-,89500,-
109,用水供應及污染整治業,38500,-,48500,-
109,營建工程業,42500,-,50800,-
109,批發及零售業,40100,-,51200,-
109,運輸及倉儲業,43800,-,54500,-
109,住宿及餐飲業,31500,-,34800,-
109,出版影音及資通訊業,61800,-,88500,-
109,金融及保險業,61200,-,96500,-
109,不動產業,40800,-,53500,-
109,專業科學及技術服務業,52500,-,67200,-
109,支援服務業,33500,-,38500,-
109,教育業(不含小學以上公私立),29800,-,33200,-
109,醫療保健及社會工作服務業,52800,-,66500,-
109,藝術娛樂及休閒服務業,34200,-,39200,-
109,其他服務業,33100,-,36800,-
110,工業及服務業總計,43211,1.68,55754,2.56
110,礦業及土石採取業,41352,2.10,48952,2.41
110,製造業,40867,2.55,55463,3.09
110,電力及燃氣供應業,62428,1.51,91435,2.16
110,用水供應及污染整治業,39233,1.90,49782,2.64
110,營建工程業,43422,2.17,52175,2.71
110,批發及零售業,40830,1.82,52525,2.59
110,運輸及倉儲業,44770,2.21,56112,2.96
110,住宿及餐飲業,32205,2.24,35899,3.16
110,出版影音及資通訊業,63265,2.37,91479,3.37
110,金融及保險業,62780,2.58,98675,2.25
110,不動產業,41655,2.10,55183,3.15
110,專業科學及技術服務業,53565,2.03,69494,3.41
110,支援服務業,34395,2.67,39696,3.11
110,教育業(不含小學以上公私立),30196,1.33,33763,1.70
110,醫療保健及社會工作服務業,53560,1.44,67801,1.96
110,藝術娛樂及休閒服務業,35092,2.61,40542,3.42
110,其他服務業,33843,2.24,37640,2.28
111,工業及服務業總計,44417,2.79,57718,3.52
111,礦業及土石採取業,42560,2.92,50120,2.39
111,製造業,42050,2.89,57280,3.28
111,電力及燃氣供應業,63850,2.28,93560,2.32
111,用水供應及污染整治業,40120,2.26,51200,2.85
111,營建工程業,44890,3.38,54320,4.11
111,批發及零售業,41950,2.74,54100,3.00
111,運輸及倉儲業,45820,2.35,58230,3.77
111,住宿及餐飲業,33450,3.87,37210,3.65
111,出版影音及資通訊業,65380,3.34,95600,4.50
111,金融及保險業,64520,2.77,102300,3.67
111,不動產業,42800,2.75,56800,2.93
111,專業科學及技術服務業,55200,3.05,72150,3.82
111,支援服務業,35200,2.34,40800,2.78
111,教育業(不含小學以上公私立),30850,2.17,34600,2.48
111,醫療保健及社會工作服務業,55100,2.88,69950,3.17
111,藝術娛樂及休閒服務業,36200,3.16,41850,3.23
111,其他服務業,34750,2.68,38800,3.08
112,工業及服務業總計,45496,2.43,58545,1.43
112,礦業及土石採取業,43210,1.53,51050,1.86
112,製造業,43103,2.50,58120,1.47
112,電力及燃氣供應業,65100,1.96,95230,1.78
112,用水供應及污染整治業,40850,1.82,52100,1.76
112,營建工程業,46120,2.74,55890,2.89
112,批發及零售業,42860,2.17,55320,2.26
112,運輸及倉儲業,47100,2.79,59850,2.78
112,住宿及餐飲業,34560,3.32,38450,3.33
112,出版影音及資通訊業,67150,2.71,98540,3.08
112,金融及保險業,66230,2.65,105600,3.23
112,不動產業,43950,2.69,57920,1.97
112,專業科學及技術服務業,56850,2.99,74320,3.01
112,支援服務業,36150,2.70,41950,2.82
112,教育業(不含小學以上公私立),31500,2.11,35210,1.76
112,醫療保健及社會工作服務業,56420,2.40,71500,2.22
112,藝術娛樂及休閒服務業,37100,2.49,42950,2.63
112,其他服務業,35600,2.45,39750,2.45
113,工業及服務業總計,46720,2.69,60150,2.74
113,礦業及土石採取業,43900,1.60,52500,2.84
113,製造業,44500,3.24,60200,3.58
113,電力及燃氣供應業,66500,2.15,98100,3.01
113,用水供應及污染整治業,41600,1.84,53200,2.11
113,營建工程業,47800,3.64,58100,3.95
113,批發及零售業,43900,2.43,56800,2.67
113,運輸及倉儲業,49200,4.46,62500,4.43
113,住宿及餐飲業,35800,3.59,40100,4.29
113,出版影音及資通訊業,68900,2.61,102500,4.02
113,金融及保險業,68100,2.82,110200,4.36
113,不動產業,45200,2.84,59500,2.73
113,專業科學及技術服務業,58500,2.90,77200,3.87
113,支援服務業,37200,2.90,43100,2.74
113,教育業(不含小學以上公私立),32300,2.54,36100,2.53
113,醫療保健及社會工作服務業,58100,2.98,74200,3.78
113,藝術娛樂及休閒服務業,38200,2.96,44500,3.61
113,其他服務業,36500,2.53,40800,2.64
