群類代號,群類名稱,109學年度,110學年度,111學年度,112學年度,113學年度,114學年度
01,機械群,8317,7812,7154,6601,6357,6265
02,動力機械群,4363,4008,3321,3082,2957,2851
03,電機與電子群電機類,4519,3750,4374,4344,4136,4125
04,電機與電子群資電類,7862,7223,6545,6021,5576,5651
05,化工群,1345,1360,1285,1235,1305,1355
06,土木與建築群,2147,1953,1863,1797,1792,1771
07,設計群,8890,8107,7398,7612,7363,7286
08,工程與管理類,482,425,365,312,289,275
09,商業與管理群,17137,16393,14905,14253,13670,12928
10,衛生與護理類,3467,3425,2779,2400,2083,1918
11,食品群,1440,1512,1361,1306,1241,1156
12,家政群幼保類,1682,1588,1489,1549,1348,1332
13,家政群生活應用類,4280,4010,3566,3303,2852,2739
14,農業群,1889,1816,1809,1729,1709,1703
15,外語群英語類,3637,3234,2665,2501,2184,1965
16,外語群日語類,1161,987,914,773,632,477
17,餐旅群,16486,14210,12305,10411,9127,8324
18,海事群,235,241,208,198,185,176
19,水產群,285,256,233,215,204,198
20,藝術群影視類,1494,1661,1420,1276,1169,897
All,全體總報名人數,95135,88310,79292,73981,69361,66311
